,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Rk,Player,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Patrick Mahomes\patrick-mahomes-1,131,285,2.2,12,,,,,131,285,2.2,12
2,Da'Leon Ward\daleon-ward-1,103,428,4.2,3,18,131,7.3,0,121,559,4.6,3
3,Demarcus Felton\demarcus-felton-1,64,354,5.5,3,7,31,4.4,0,71,385,5.4,3
4,Justin Stockton\justin-stockton-1,53,154,2.9,1,21,220,10.5,2,74,374,5.1,3
5,Quinton White\quinton-white-1,13,28,2.2,1,13,117,9.0,0,26,145,5.6,1
6,Nic Shimonek\nic-shimonek-1,5,-31,-6.2,0,,,,,5,-31,-6.2,0
7,Keke Coutee\keke-coutee-1,3,2,0.7,1,55,890,16.2,7,58,892,15.4,8
8,Corey Dauphine\corey-dauphine-1,2,25,12.5,1,,,,,2,25,12.5,1
9,Michael Barden\michael-barden-1,2,14,7.0,0,,,,,2,14,7.0,0
10,Cameron Batson\cameron-batson-1,2,4,2.0,0,60,644,10.7,8,62,648,10.5,8
11,Caleb Woodward\caleb-woodward-1,1,2,2.0,0,,,,,1,2,2.0,0
12,Taylor Nunez\taylor-nunez-1,1,-6,-6.0,0,1,15,15.0,0,2,9,4.5,0
13,Erik Baughman\erik-baughman-1,1,-7,-7.0,0,,,,,1,-7,-7.0,0
14,Jonathan Giles\jonathan-giles-1,,,,,69,1158,16.8,13,69,1158,16.8,13
15,Dylan Cantrell\dylan-cantrell-1,,,,,58,675,11.6,8,58,675,11.6,8
16,Devin Lauderdale\devin-lauderdale-1,,,,,31,307,9.9,2,31,307,9.9,2
17,Ian Sadler\ian-sadler-1,,,,,24,363,15.1,0,24,363,15.1,0
18,Derrick Willies\derrick-willies-1,,,,,18,288,16.0,2,18,288,16.0,2
19,Reginald Davis\reginald-davis-1,,,,,15,247,16.5,2,15,247,16.5,2
20,Tony Brown\tony-brown-9,,,,,13,128,9.8,0,13,128,9.8,0
21,Ja'Deion High\jadeion-high-1,,,,,6,54,9.0,1,6,54,9.0,1
22,Quan Shorts\quan-shorts-1,,,,,5,124,24.8,1,5,124,24.8,1
23,Mason Reed\mason-reed-1,,,,,5,96,19.2,0,5,96,19.2,0
24,Kash Knutson\kash-knutson-1,,,,,5,45,9.0,0,5,45,9.0,0
25,T.J. Vasher\tj-vasher-1,,,,,2,9,4.5,0,2,9,4.5,0
26,Hunter Rittimann\hunter-rittimann-1,,,,,1,9,9.0,0,1,9,9.0,0
27,Travis Bruffy\travis-bruffy-1,,,,,1,5,5.0,1,1,5,5.0,1

