,,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Kicking,Kicking,,,
Rk,Player,Rush,Rec,Int,FR,PR,KR,Oth,Tot,XPM,FGM,2PM,Sfty,Pts
1,Clayton Hatfield\clayton-hatfield-1,,,,,,,,,65,13,,,104
2,Jonathan Giles\jonathan-giles-1,,13,,,,,,13,,,,,78
3,Patrick Mahomes\patrick-mahomes-1,12,,,,,,,12,,,,,72
4,Keke Coutee\keke-coutee-1,1,7,,,,,,8,,,,,48
5,Dylan Cantrell\dylan-cantrell-1,,8,,,,,,8,,,,,48
6,Cameron Batson\cameron-batson-1,,8,,,,,,8,,,,,48
7,Demarcus Felton\demarcus-felton-1,3,,,,,,,3,,,,,18
8,Da'Leon Ward\daleon-ward-1,3,,,,,,,3,,,,,18
9,Justin Stockton\justin-stockton-1,1,2,,,,,,3,,,,,18
10,Derrick Willies\derrick-willies-1,,2,,,,,,2,,,,,12
11,Reginald Davis\reginald-davis-1,,2,,,,,,2,,,,,12
12,Devin Lauderdale\devin-lauderdale-1,,2,,,,,,2,,,,,12
13,Quinton White\quinton-white-1,1,,,,,,,1,,,,,6
14,Quan Shorts\quan-shorts-1,,1,,,,,,1,,,,,6
15,Ja'Deion High\jadeion-high-1,,1,,,,,,1,,,,,6
16,Corey Dauphine\corey-dauphine-1,1,,,,,,,1,,,,,6
17,Travis Bruffy\travis-bruffy-1,,1,,,,,,1,,,,,6
